Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
intel,Mask_VGG_Improved,1,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.565789474,0.535887796,0.085949286,0.53662854,0.901961478,0.653413521,91.60193253,0.296191454
intel,Mask_VGG_Improved,2,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.684210526,0.704464286,0.062382268,0.690721112,0.938812152,0.762110281,73.64813471,0.36793685
intel,Mask_VGG_Improved,3,"Learning Rate: 0.002138132570699684
Activation:  elu
Optimizer: adam",0.697368421,0.698455711,0.059048472,0.685907611,0.942364566,0.801084573,60.1355083,0.401477814
intel,Mask_VGG_Improved,4,"Learning Rate: 0.07027700188725433
Activation:  elu
Optimizer: RMSprop",0.105263158,0.095238095,0.178081059,0,0.331550868,0.154456208,38.53235698,0.374553442
intel,Mask_VGG_Improved,5,"Learning Rate: 0.00999008453386055
Activation:  relu
Optimizer: adam",0.355263158,0.341839447,0.126019128,0.437865497,0.785437306,0.425792464,105.054265,0.487783909
intel,Mask_VGG_Improved,6,"Learning Rate: 0.004084305943183774
Activation:  relu
Optimizer: adam",0.236842105,0.241626266,0.152834436,0.239469936,0.788746958,0.441946166,50.23208809,0.295671701
intel,Mask_VGG_Improved,7,"Learning Rate: 0.0013565387652443807
Activation:  elu
Optimizer: adam",0.565789474,0.579452102,0.086235499,0.618518519,0.890873253,0.699173542,48.89938617,0.299319506
intel,Mask_VGG_Improved,8,"Learning Rate: 0.0015916014986648561
Activation:  elu
Optimizer: adam",0.526315789,0.468788156,0.096895714,0.493409595,0.855889867,0.562156342,42.57544374,0.321230888
intel,Mask_VGG_Improved,9,"Learning Rate: 0.00122140098577225
Activation:  elu
Optimizer: adam",0.697368421,0.699603175,0.060344712,0.722940558,0.901970053,0.692293815,79.49252009,0.298583269
intel,Mask_VGG_Improved,10,"Learning Rate: 0.0022763918719139785
Activation:  elu
Optimizer: adam",0.710526316,0.726157407,0.057925042,0.724706666,0.937266933,0.828917995,48.06004739,0.283401728
